uid,average activity inference,average audio inference,conversation,dark,phonecharge,phonelock,in[sudikoff],in[baker-berry],in[lsb],in[north-main],in[HanoverInn],in[kemeny],in[hopkins],in[hanoverpsych],near[kemeny; cutter-north; north-main; ],in[cutter-north],in[occum],in[53_commons],in[north-park],in[dana-library],in[mclaughlin],in[ripley],in[thayer_secure],in[robinson],in[massrow],in[east-wheelock],in[ropeferry],in[sport-venues],in[fahey-mclane],in[fayerweather],in[dewey],in[woodward],in[murdough],in[wheeler],in[college-street],in[rollins-chapel],in[gile],in[reed],in[vac],in[lord],in[sport-venues-press],in[silsby-rocky],in[lodge],in[newhamp],in[channing-cox],in[cummings],in[maclean],in[steele],in[butterfield],near[butterfield; hopkins; ],near[hopkins; butterfield; ],in[softballfield],in[french],in[little_hall],in[7-lebanon],in[maxwell],in[moore]
u00,0.2278875562510958,0.8344407148219417,760.1117953576503,9595.923913043478,14838.68,9457.805309734511,2634.0,1901.0,1430.0,930.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u01,0.12035286040997176,0.8072553308782656,764.026158788435,12134.068292682927,22644.977272727272,14280.356481481482,0.0,0.0,0.0,0.0,0.0,5368.0,3317.0,1845.0,919.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u02,0.12466873168308948,0.6543004114721277,849.7296021577882,11389.069518716577,14817.8,10340.108974358976,3165.0,957.0,0.0,0.0,0.0,0.0,1590.0,0.0,0.0,0.0,13590.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u03,0.02425364971487742,0.2004384285524688,519.8661087866109,14019.73015873016,20112.23404255319,14850.039215686274,508.0,0.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13345.0,70.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u04,0.23620804469467,0.9561295070563282,550.2323712093533,11836.712686567163,23650.18333333333,14496.551867219918,0.0,2659.0,0.0,0.0,0.0,0.0,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11140.0,2146.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u05,0.12249203323672153,0.6558018185720806,662.5707317073171,13043.088235294117,15222.027777777776,13357.544444444444,4665.0,0.0,0.0,0.0,0.0,1474.0,0.0,0.0,0.0,0.0,1597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8133.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u07,0.13161570656880128,0.6485833163101183,588.9766933721777,13653.809210526317,18623.875,15476.071895424837,0.0,0.0,2745.0,0.0,0.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40929.0,2205.0,1535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u09,0.14137847899018874,0.7189574205929821,755.6571176729835,11098.753926701569,18094.197183098597,14803.744292237443,1287.0,4951.0,0.0,21750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u10,0.07806325412917789,0.6298976758808648,510.74513274336283,11093.244239631336,9573.341176470589,9943.01661129568,0.0,6557.0,2072.0,0.0,0.0,966.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u14,0.13932589251077884,0.916176616650634,871.3379457158063,13691.326530612243,15722.0,11295.138248847927,5294.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10372.0,2836.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
