uid,average activity inference
u00,0.2278875562510958
u01,0.12035286040997174
u02,0.12466873168308949
u03,0.02425364971487742
u04,0.23620804469467002
u05,0.12249203323672153
u07,0.13161570656880128
u08,0.11547345018801981
u09,0.14137847899018874
u10,0.07806325412917789
u12,0.13225360074765358
u13,0.1266759362676939
u14,0.13932589251077884
u15,0.14381283144093437
u16,0.0942436968796676
u17,0.0882245633237561
u18,0.07698253172771849
u19,0.08994537868684352
u20,0.04922388042846092
u22,0.1270790765828286
u23,0.053671556381184204
u24,0.10097622087647744
u25,0.23880163864097106
u27,0.08292620715364844
u30,0.20555729571886147
u31,0.16150490137850643
u32,0.18332921024977428
u33,0.10757905185045138
u34,0.2587559745270712
u35,0.09202409355372455
u36,0.1730460744959283
u39,0.01674855800042726
u41,0.052464438540224645
u42,0.12054036575288327
u43,0.1613472962642831
u44,0.04584371768136582
u45,0.23476194221335248
u46,0.23905673118648865
u47,0.1128585829891322
u49,0.10535283259974443
u50,0.08627262724870877
u51,0.1505407927661299
u52,0.42138481990880516
u53,0.0726231102689015
u54,0.1542712111975567
u56,0.15071386295023612
u57,0.2186199051688081
u58,0.10250417692360926
u59,0.2543972422684254
